name,ring,quadrant,isNew,description
Spec review,Adopt,Techniques,TRUE,
3 amigo,Trial,Techniques,TRUE,
Oracle,Adopt,Platforms,TRUE,
Kafka,Adopt,Platforms,TRUE,
Java 11,Adopt,Languages-And-Frameworks,TRUE,
Java 17,Trial,Languages-And-Frameworks,TRUE,
Spring,Adopt,Languages-And-Frameworks,TRUE,
REST,Adopt,Languages-And-Frameworks,TRUE,
JUnit,Adopt,Languages-And-Frameworks,TRUE,
TestNg,Adopt,Languages-And-Frameworks,TRUE,
Mockito,Adopt,Languages-And-Frameworks,TRUE,
PL/pgSQL,Adopt,Languages-And-Frameworks,TRUE,
PostgreSQL,Adopt,Platforms,TRUE,
Grafana,Adopt,Platforms,TRUE,
Testcontainers,Trial,Languages-And-Frameworks,TRUE,
Swagger,Adopt,Tools,TRUE,
Ignite,Adopt,Platforms,TRUE,
Caffeine,Adopt,Languages-And-Frameworks,TRUE,
GitLab,Adopt,Tools,TRUE,
Kubernetes,Adopt,Tools,TRUE,
Docker,Adopt,Tools,TRUE,
Cassandra,Adopt,Platforms,TRUE,
Allure,Adopt,Tools,TRUE,
JIRA,Adopt,Tools,TRUE,
SAGE,Adopt,Tools,TRUE,
